data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', '5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.04', '1495[0.00,4.00,0.00]=4.06']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.05', '1495[0.00,4.00,0.00]=4.05', '5B01[4.00,4.00,0.00]=5.65']"
"['5B01[4.00,4.00,0.00]=5.64', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.10', '1495[0.00,4.00,0.00]=4.13']"
"['5B01[4.00,4.00,0.00]=5.65', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.05', '1495[0.00,4.00,0.00]=4.04']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.08', '1495[0.00,4.00,0.00]=4.04']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.04', '1495[0.00,4.00,0.00]=4.10']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.08', '1495[0.00,4.00,0.00]=4.14']"
"['5B01[4.00,4.00,0.00]=5.65', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.01', '1495[0.00,4.00,0.00]=4.07', 'le_us=6134', 'est[-0.02,-0.02,-0.09,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.08', '592F[4.00,0.00,0.00]=4.05', '5B01[4.00,4.00,0.00]=5.62']"
"['5B01[4.00,4.00,0.00]=5.73', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.06', '1495[0.00,4.00,0.00]=4.04']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.05', '1495[0.00,4.00,0.00]=4.08']"
"['5B01[4.00,4.00,0.00]=5.68', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.03', '1495[0.00,4.00,0.00]=4.08']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.09', '1495[0.00,4.00,0.00]=4.10']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.06', '1495[0.00,4.00,0.00]=4.11']"
"['5B01[4.00,4.00,0.00]=5.68', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.10', '1495[0.00,4.00,0.00]=4.06']"
"['5B01[4.00,4.00,0.00]=5.68', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.04', '1495[0.00,4.00,0.00]=4.03']"
"['5B01[4.00,4.00,0.00]=5.65', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.12', '1495[0.00,4.00,0.00]=4.11']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.08', '1495[0.00,4.00,0.00]=4.14']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.04', '1495[0.00,4.00,0.00]=4.10']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.00', '1495[0.00,4.00,0.00]=4.12', 'le_us=6103', 'est[-0.02,-0.02,-0.06,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.07', '1495[0.00,4.00,0.00]=4.06', '5B01[4.00,4.00,0.00]=5.66']"
"['5B01[4.00,4.00,0.00]=5.68', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.12', '1495[0.00,4.00,0.00]=4.14']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.03', '1495[0.00,4.00,0.00]=4.13']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.05', '1495[0.00,4.00,0.00]=4.02']"
"['5B01[4.00,4.00,0.00]=5.68', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.00', '1495[0.00,4.00,0.00]=4.05', 'le_us=8545', 'est[-0.01,-0.02,-0.13,18]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.13', '1495[0.00,4.00,0.00]=4.02', '5B01[4.00,4.00,0.00]=5.70']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.02', '1495[0.00,4.00,0.00]=4.09', 'le_us=6103', 'est[-0.01,-0.02,-0.10,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.10', '1495[0.00,4.00,0.00]=4.07', '5B01[4.00,4.00,0.00]=5.63']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.10', '1495[0.00,4.00,0.00]=4.02']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.08', '1495[0.00,4.00,0.00]=4.05']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.10', '1495[0.00,4.00,0.00]=4.11']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.05', '1495[0.00,4.00,0.00]=4.09']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.12', '1495[0.00,4.00,0.00]=4.03', 'le_us=6134', 'est[-0.01,-0.02,-0.07,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.05', '1495[0.00,4.00,0.00]=4.06', '5B01[4.00,4.00,0.00]=5.64']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.97', '1495[0.00,4.00,0.00]=4.10', 'le_us=8545', 'est[0.01,-0.03,-0.18,26]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.07', '1495[0.00,4.00,0.00]=4.04', '5B01[4.00,4.00,0.00]=5.66']"
"['5B01[4.00,4.00,0.00]=5.73', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.06', '1495[0.00,4.00,0.00]=4.07', 'le_us=8545', 'est[-0.00,-0.04,-0.21,23]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.05', '1495[0.00,4.00,0.00]=4.07', '5B01[4.00,4.00,0.00]=5.62']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.01', '1495[0.00,4.00,0.00]=4.10', 'le_us=6134', 'est[-0.00,-0.03,-0.16,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.07', '1495[0.00,4.00,0.00]=4.11', '5B01[4.00,4.00,0.00]=5.69']"
"['5B01[4.00,4.00,0.00]=5.64', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.08', '1495[0.00,4.00,0.00]=4.14']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.06', '1495[0.00,4.00,0.00]=3.99']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.05', '1495[0.00,4.00,0.00]=3.97', 'le_us=8758', 'est[-0.04,-0.03,-0.20,45]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.04', '592F[4.00,0.00,0.00]=4.05', '5B01[4.00,4.00,0.00]=5.65']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.10', '1495[0.00,4.00,0.00]=4.07']"
"['5B01[4.00,4.00,0.00]=5.65', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.09', '1495[0.00,4.00,0.00]=4.02']"
"['5B01[4.00,4.00,0.00]=5.73', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.06', '1495[0.00,4.00,0.00]=4.12']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.08', '1495[0.00,4.00,0.00]=4.06']"
"['5B01[4.00,4.00,0.00]=5.65', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.02', '1495[0.00,4.00,0.00]=4.05']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.02', '1495[0.00,4.00,0.00]=4.14']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.06', '1495[0.00,4.00,0.00]=4.11']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.04', '1495[0.00,4.00,0.00]=4.08']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.04', '1495[0.00,4.00,0.00]=4.09']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.08', '1495[0.00,4.00,0.00]=4.05']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.08', '1495[0.00,4.00,0.00]=4.10']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.06', '1495[0.00,4.00,0.00]=4.08']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.03', '1495[0.00,4.00,0.00]=4.10', 'le_us=6134', 'est[-0.04,-0.02,-0.15,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.14', '592F[4.00,0.00,0.00]=4.03', '5B01[4.00,4.00,0.00]=5.61']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.12', '1495[0.00,4.00,0.00]=4.05']"
"['5B01[4.00,4.00,0.00]=5.68', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.99', '1495[0.00,4.00,0.00]=4.05', 'le_us=8514', 'est[-0.02,-0.03,-0.18,20]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.02', '1495[0.00,4.00,0.00]=4.08', '5B01[4.00,4.00,0.00]=5.64']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.09', '1495[0.00,4.00,0.00]=4.10']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.08', '1495[0.00,4.00,0.00]=4.06']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.00', '1495[0.00,4.00,0.00]=4.01', 'le_us=7202', 'est[-0.02,-0.02,-0.14,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.05', '1495[0.00,4.00,0.00]=4.06', '5B01[4.00,4.00,0.00]=5.67']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.05', '1495[0.00,4.00,0.00]=4.07']"
