data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', 'CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.99', '592F[4.00,0.00,0.00]=5.87', '5B01[4.00,4.00,0.00]=5.64', 'le_us=5249', 'est[-0.04,-0.03,-0.01,70]']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.25', '1495[0.00,4.00,0.00]=3.98']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.83', '1495[0.00,4.00,0.00]=3.99']"
"['5B01[4.00,4.00,0.00]=5.73', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.83', '1495[0.00,4.00,0.00]=3.88']"
"['5B01[4.00,4.00,0.00]=5.65', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.85', '1495[0.00,4.00,0.00]=3.93', 'le_us=6347', 'est[-0.04,-0.02,-0.01,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.98', '592F[4.00,0.00,0.00]=5.86', '5B01[4.00,4.00,0.00]=5.65', 'le_us=5218', 'est[-0.03,-0.01,-0.01,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.95', '592F[4.00,0.00,0.00]=5.87', '5B01[4.00,4.00,0.00]=5.68']"
"['5B01[4.00,4.00,0.00]=5.68', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.83', '1495[0.00,4.00,0.00]=3.94']"
"['5B01[4.00,4.00,0.00]=5.65', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.45', '1495[0.00,4.00,0.00]=3.95', 'le_us=6469', 'est[-0.04,-0.02,-0.01,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.93', '592F[4.00,0.00,0.00]=5.14', '5B01[4.00,4.00,0.00]=5.61', 'le_us=5493', 'est[-0.04,-0.02,-0.03,45]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.01', '592F[4.00,0.00,0.00]=5.15', '5B01[4.00,4.00,0.00]=5.64']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.87', '1495[0.00,4.00,0.00]=3.98']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.26', '1495[0.00,4.00,0.00]=3.93']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.87', '1495[0.00,4.00,0.00]=3.94', 'le_us=6591', 'est[-0.07,-0.05,-0.02,73]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.03', '592F[4.00,0.00,0.00]=5.88', '5B01[4.00,4.00,0.00]=5.65']"
"['5B01[4.00,4.00,0.00]=5.68', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.84', '1495[0.00,4.00,0.00]=3.98']"
"['5B01[4.00,4.00,0.00]=5.60', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.87', '1495[0.00,4.00,0.00]=3.93', 'le_us=6469', 'est[-0.06,-0.05,-0.04,37]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.98', '592F[4.00,0.00,0.00]=5.88', '5B01[4.00,4.00,0.00]=5.64', 'le_us=5218', 'est[-0.05,-0.03,-0.03,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.03', '592F[4.00,0.00,0.00]=5.89']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.84', '1495[0.00,4.00,0.00]=3.95', '5B01[4.00,4.00,0.00]=5.58', 'le_us=5523', 'est[-0.03,-0.03,-0.04,49]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.08', '1495[0.00,4.00,0.00]=3.97', '5B01[4.00,4.00,0.00]=5.59', 'le_us=5859', 'est[-0.02,-0.04,-0.05,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.83', '1495[0.00,4.00,0.00]=3.93', '5B01[4.00,4.00,0.00]=5.71']"
"['5B01[4.00,4.00,0.00]=5.65', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.11', '1495[0.00,4.00,0.00]=3.96', 'le_us=6500', 'est[-0.03,-0.05,-0.04,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.25', '1495[0.00,4.00,0.00]=3.97', '5B01[4.00,4.00,0.00]=5.66', 'le_us=5371', 'est[-0.04,-0.05,-0.03,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.26', '1495[0.00,4.00,0.00]=3.93', '5B01[4.00,4.00,0.00]=5.65', 'le_us=5706', 'est[-0.07,-0.07,-0.04,73]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.88', '1495[0.00,4.00,0.00]=4.02', '5B01[4.00,4.00,0.00]=5.81']"
"['5B01[4.00,4.00,0.00]=5.74', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.20', '1495[0.00,4.00,0.00]=3.86', 'le_us=8728', 'est[-0.13,-0.04,-0.04,73]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.96', '592F[4.00,0.00,0.00]=5.49', '5B01[4.00,4.00,0.00]=5.68']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.84', '1495[0.00,4.00,0.00]=3.97']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.86', '1495[0.00,4.00,0.00]=3.88']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.87', '1495[0.00,4.00,0.00]=3.91']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.85', '1495[0.00,4.00,0.00]=3.92']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.03', '1495[0.00,4.00,0.00]=3.92']"
"['5B01[4.00,4.00,0.00]=5.75', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.84', '1495[0.00,4.00,0.00]=4.01']"
"['5B01[4.00,4.00,0.00]=5.76', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.19', '1495[0.00,4.00,0.00]=3.99']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.08', '1495[0.00,4.00,0.00]=4.02', 'le_us=6134', 'est[-0.09,-0.04,-0.03,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.98', '592F[4.00,0.00,0.00]=5.92', '5B01[4.00,4.00,0.00]=5.61', 'le_us=5523', 'est[-0.07,-0.05,-0.04,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.96', '592F[4.00,0.00,0.00]=5.78', '5B01[4.00,4.00,0.00]=5.62', 'le_us=5523', 'est[-0.06,-0.05,-0.05,59]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.00', '592F[4.00,0.00,0.00]=5.84', '5B01[4.00,4.00,0.00]=5.72']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.82', '1495[0.00,4.00,0.00]=3.97']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.88', '1495[0.00,4.00,0.00]=3.94']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.81', '1495[0.00,4.00,0.00]=4.00']"
"['5B01[4.00,4.00,0.00]=5.74', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.22', '1495[0.00,4.00,0.00]=3.93', 'le_us=8575', 'est[-0.09,-0.01,-0.15,49]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.97', '592F[4.00,0.00,0.00]=4.28', '5B01[4.00,4.00,0.00]=5.68']"
"['5B01[4.00,4.00,0.00]=5.74', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.84', '1495[0.00,4.00,0.00]=3.96']"
"['5B01[4.00,4.00,0.00]=5.64', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.87', '1495[0.00,4.00,0.00]=4.02']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.86', '1495[0.00,4.00,0.00]=3.94']"
"['5B01[4.00,4.00,0.00]=5.64', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.90', '1495[0.00,4.00,0.00]=3.98', 'le_us=6256', 'est[-0.07,-0.00,-0.11,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.98', '592F[4.00,0.00,0.00]=5.87', '5B01[4.00,4.00,0.00]=5.66', 'le_us=5249', 'est[-0.06,0.00,-0.08,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.01', '592F[4.00,0.00,0.00]=5.83', '5B01[4.00,4.00,0.00]=5.74']"
"['5B01[4.00,4.00,0.00]=5.64', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.05', '1495[0.00,4.00,0.00]=3.97', 'le_us=6500', 'est[-0.05,-0.01,-0.08,68]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.92', '592F[4.00,0.00,0.00]=5.91', '5B01[4.00,4.00,0.00]=5.64', 'le_us=5523', 'est[-0.06,-0.02,-0.06,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.00', '592F[4.00,0.00,0.00]=5.07', '5B01[4.00,4.00,0.00]=5.74']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.29', '1495[0.00,4.00,0.00]=3.93']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.22', '1495[0.00,4.00,0.00]=3.95']"
"['5B01[4.00,4.00,0.00]=5.74', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.80', '1495[0.00,4.00,0.00]=3.96']"
"['5B01[4.00,4.00,0.00]=5.66', '592F[4.00,0.00,0.00]=5.89', '1495[0.00,4.00,0.00]=3.97', 'le_us=610', 'est[-0.06,0.57,-0.94,76]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.93', '592F[4.00,0.00,0.00]=5.48', '5B01[4.00,4.00,0.00]=5.69']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.03', '1495[0.00,4.00,0.00]=3.92']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.80', '1495[0.00,4.00,0.00]=3.97']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.83', '1495[0.00,4.00,0.00]=3.97']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.90', '1495[0.00,4.00,0.00]=4.00']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.81', '1495[0.00,4.00,0.00]=3.92']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.80', '1495[0.00,4.00,0.00]=3.93']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.86', '1495[0.00,4.00,0.00]=3.94', 'le_us=6561', 'est[-0.08,0.39,-0.71,73]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.00', '592F[4.00,0.00,0.00]=4.30', '5B01[4.00,4.00,0.00]=5.68']"
"['5B01[4.00,4.00,0.00]=5.76', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.82', '1495[0.00,4.00,0.00]=4.04']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.25', '1495[0.00,4.00,0.00]=3.92']"
"['5B01[4.00,4.00,0.00]=5.74', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.12', '1495[0.00,4.00,0.00]=3.94']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.85', '1495[0.00,4.00,0.00]=4.01', 'le_us=6103', 'est[-0.06,0.29,-0.53,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.04', '592F[4.00,0.00,0.00]=5.81', '5B01[4.00,4.00,0.00]=5.64']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.84', '1495[0.00,4.00,0.00]=3.90']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.83', '1495[0.00,4.00,0.00]=3.96']"
"['5B01[4.00,4.00,0.00]=5.68', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.84', '1495[0.00,4.00,0.00]=3.94']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.87', '1495[0.00,4.00,0.00]=3.93']"
"['5B01[4.00,4.00,0.00]=5.73', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.86', '1495[0.00,4.00,0.00]=3.93']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.00', '1495[0.00,4.00,0.00]=3.96']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.82', '1495[0.00,4.00,0.00]=3.94']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.27', '1495[0.00,4.00,0.00]=3.87']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.06', '1495[0.00,4.00,0.00]=3.92']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.84', '1495[0.00,4.00,0.00]=3.99']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.85', '1495[0.00,4.00,0.00]=3.97']"
"['5B01[4.00,4.00,0.00]=5.73', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.87', '1495[0.00,4.00,0.00]=3.92']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.09', '1495[0.00,4.00,0.00]=3.88']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.99', '1495[0.00,4.00,0.00]=3.96']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.84', '1495[0.00,4.00,0.00]=3.91']"
"['5B01[4.00,4.00,0.00]=5.64', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.04', '1495[0.00,4.00,0.00]=3.92', 'le_us=6500', 'est[-0.07,0.22,-0.41,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.95', '592F[4.00,0.00,0.00]=5.06']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.85', '1495[0.00,4.00,0.00]=4.07', '5B01[4.00,4.00,0.00]=5.59']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.05', '1495[0.00,4.00,0.00]=3.97', 'le_us=6347', 'est[-0.07,0.14,-0.31,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.03', '592F[4.00,0.00,0.00]=5.06', '5B01[4.00,4.00,0.00]=5.67', 'le_us=5249', 'est[-0.05,0.10,-0.23,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.93', '592F[4.00,0.00,0.00]=5.07', '5B01[4.00,4.00,0.00]=5.65', 'le_us=5706', 'est[-0.08,0.04,-0.18,73]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.99', '592F[4.00,0.00,0.00]=5.83', '5B01[4.00,4.00,0.00]=5.63', 'le_us=5554', 'est[-0.06,0.01,-0.14,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.94', '592F[4.00,0.00,0.00]=5.88', '5B01[4.00,4.00,0.00]=5.71']"
"['5B01[4.00,4.00,0.00]=5.65', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.24', '1495[0.00,4.00,0.00]=3.96', 'le_us=6530', 'est[-0.06,-0.01,-0.11,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.01', '592F[4.00,0.00,0.00]=5.87', '5B01[4.00,4.00,0.00]=5.55']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.85', '1495[0.00,4.00,0.00]=3.92']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.03', '1495[0.00,4.00,0.00]=3.98']"
"['5B01[4.00,4.00,0.00]=5.74', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.86', '1495[0.00,4.00,0.00]=3.95']"
"['5B01[4.00,4.00,0.00]=5.73', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.86', '1495[0.00,4.00,0.00]=3.97']"
"['5B01[4.00,4.00,0.00]=5.63', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.22', '1495[0.00,4.00,0.00]=3.93', 'le_us=6530', 'est[-0.06,-0.01,-0.10,65]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.96', '592F[4.00,0.00,0.00]=4.15', '5B01[4.00,4.00,0.00]=5.61', 'le_us=5767', 'est[-0.05,-0.02,-0.10,59]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.98', '592F[4.00,0.00,0.00]=5.80', '5B01[4.00,4.00,0.00]=5.64', 'le_us=5249', 'est[-0.04,-0.01,-0.07,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.97', '592F[4.00,0.00,0.00]=5.03', '5B01[4.00,4.00,0.00]=5.66', 'le_us=5401', 'est[-0.05,-0.03,-0.05,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.97', '592F[4.00,0.00,0.00]=5.86', '5B01[4.00,4.00,0.00]=5.67']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.82', '1495[0.00,4.00,0.00]=4.01', 'le_us=6103', 'est[-0.03,-0.02,-0.04,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.96', '592F[4.00,0.00,0.00]=5.84', '5B01[4.00,4.00,0.00]=5.64', 'le_us=5493', 'est[-0.04,-0.03,-0.04,68]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.01', '592F[4.00,0.00,0.00]=5.84', '5B01[4.00,4.00,0.00]=5.71']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.01', '1495[0.00,4.00,0.00]=3.98']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.82', '1495[0.00,4.00,0.00]=4.01']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.91', '1495[0.00,4.00,0.00]=3.90']"
"['5B01[4.00,4.00,0.00]=5.73', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.86', '1495[0.00,4.00,0.00]=3.97']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.00', '1495[0.00,4.00,0.00]=4.01']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.46', '1495[0.00,4.00,0.00]=3.96']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.04', '1495[0.00,4.00,0.00]=3.90']"
"['5B01[4.00,4.00,0.00]=5.75', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.22', '1495[0.00,4.00,0.00]=3.93', 'le_us=8545', 'est[-0.08,-0.00,-0.10,63]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.02', '592F[4.00,0.00,0.00]=5.81', '5B01[4.00,4.00,0.00]=5.77']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.03', '1495[0.00,4.00,0.00]=3.94']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.00', '1495[0.00,4.00,0.00]=3.93']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.83', '1495[0.00,4.00,0.00]=4.01', 'le_us=6103', 'est[-0.06,-0.00,-0.08,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.00', '592F[4.00,0.00,0.00]=5.87', '5B01[4.00,4.00,0.00]=5.69']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.83', '1495[0.00,4.00,0.00]=4.04']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.03', '1495[0.00,4.00,0.00]=3.98']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.12', '1495[0.00,4.00,0.00]=3.91']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.81', '1495[0.00,4.00,0.00]=4.05', '5B01[4.00,4.00,0.00]=5.70']"
"['5B01[4.00,4.00,0.00]=5.72', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.23', '1495[0.00,4.00,0.00]=3.98']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.81', '1495[0.00,4.00,0.00]=3.88']"
"['5B01[4.00,4.00,0.00]=5.73', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.87', '1495[0.00,4.00,0.00]=3.98']"
"['5B01[4.00,4.00,0.00]=5.68', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.81', '1495[0.00,4.00,0.00]=3.94']"
"['5B01[4.00,4.00,0.00]=5.65', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.87', '1495[0.00,4.00,0.00]=3.94', 'le_us=6378', 'est[-0.07,-0.01,-0.06,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.97', '592F[4.00,0.00,0.00]=5.87', '5B01[4.00,4.00,0.00]=5.64', 'le_us=5249', 'est[-0.05,-0.00,-0.04,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.97', '592F[4.00,0.00,0.00]=4.92', '5B01[4.00,4.00,0.00]=5.64', 'le_us=5554', 'est[-0.05,-0.02,-0.04,68]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.99', '592F[4.00,0.00,0.00]=5.45', '5B01[4.00,4.00,0.00]=5.64', 'le_us=5249', 'est[-0.03,-0.01,-0.03,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.97', '592F[4.00,0.00,0.00]=4.20', '5B01[4.00,4.00,0.00]=5.64', 'le_us=5554', 'est[-0.04,-0.03,-0.04,68]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.01', '592F[4.00,0.00,0.00]=4.30', '5B01[4.00,4.00,0.00]=5.68', 'le_us=5249', 'est[-0.04,-0.02,-0.03,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.95', '592F[4.00,0.00,0.00]=5.89', '5B01[4.00,4.00,0.00]=5.68']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.28', '1495[0.00,4.00,0.00]=3.89']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.81', '1495[0.00,4.00,0.00]=3.93']"
"['5B01[4.00,4.00,0.00]=5.62', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.45', '1495[0.00,4.00,0.00]=3.92', 'le_us=6500', 'est[-0.04,-0.02,-0.04,70]']"
